Quest,Quest,Order,Type,Status,Created_at
626a9a26968bb80001a9caad,13817,JMB-v575408-01,CENCOSUD_SHOPPER,IN_PROGRESS,Thu Apr 28 2022 06:44:06 GMT-0700 (Pacific Daylight Time)
626ac88a175ef4000189a9e4,13817,JMB-v576565-01,CENCOSUD_SHOPPER,REVIEWING,Thu Apr 28 2022 10:02:02 GMT-0700 (Pacific Daylight Time)
626a02e2d26fe50001b11b30,13817,JMB-v574196-01,CENCOSUD_SHOPPER,REVIEWING,Wed Apr 27 2022 19:58:42 GMT-0700 (Pacific Daylight Time)
626ac186968bb80001bd24be,13817,JMB-v576407-01,CENCOSUD_SHOPPER,REVIEWING,Thu Apr 28 2022 09:32:06 GMT-0700 (Pacific Daylight Time)
626aa2b7175ef40001ad5ea4,13817,JMB-v575618-01,CENCOSUD_SHOPPER,OPEN,Thu Apr 28 2022 07:20:39 GMT-0700 (Pacific Daylight Time)
626abc3c968bb8000176abdd,13817,JMB-v576267-01,CENCOSUD_SHOPPER,APPROVED,Thu Apr 28 2022 09:09:32 GMT-0700 (Pacific Daylight Time)
626aa8f2175ef40001322729,13817,JMB-v575757-01,CENCOSUD_SHOPPER,APPROVED,Thu Apr 28 2022 07:47:14 GMT-0700 (Pacific Daylight Time)
6269e2f6175ef40001c02fc1,13817,JMB-v573834-01,CENCOSUD_SHOPPER,REVIEWING,Wed Apr 27 2022 17:42:30 GMT-0700 (Pacific Daylight Time)
626abd99175ef40001ee06a6,13817,JMB-v576305-01,CENCOSUD_SHOPPER,APPROVED,Thu Apr 28 2022 09:15:21 GMT-0700 (Pacific Daylight Time)
626aba15175ef4000177cfca,13817,JMB-v576195-01,CENCOSUD_SHOPPER,REVIEWING,Thu Apr 28 2022 09:00:21 GMT-0700 (Pacific Daylight Time)
626acb91d26fe50001e924cb,13817,JMB-v576634-01,CENCOSUD_SHOPPER,IN_PROGRESS,Thu Apr 28 2022 10:14:57 GMT-0700 (Pacific Daylight Time)
6269b11c968bb80001106ef1,13817,JMB-v573256-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 14:09:48 GMT-0700 (Pacific Daylight Time)
626a926ad26fe50001a959c1,13817,JMB-v575202-01,CENCOSUD_SHOPPER,APPROVED,Thu Apr 28 2022 06:11:06 GMT-0700 (Pacific Daylight Time)
626aa8a5968bb800017e7028,13817,JMB-v575760-01,CENCOSUD_SHOPPER,APPROVED,Thu Apr 28 2022 07:45:57 GMT-0700 (Pacific Daylight Time)
626ae1f6175ef4000129f3fd,13817,JMB-v577076-01,CENCOSUD_SHOPPER,OPEN,Thu Apr 28 2022 11:50:30 GMT-0700 (Pacific Daylight Time)
626ad1ce968bb800015c3079,13817,JMB-v576759-01,CENCOSUD_SHOPPER,IN_PROGRESS,Thu Apr 28 2022 10:41:34 GMT-0700 (Pacific Daylight Time)
626ad331968bb80001068351,13817,JMB-v576799-01,CENCOSUD_SHOPPER,IN_PROGRESS,Thu Apr 28 2022 10:47:29 GMT-0700 (Pacific Daylight Time)
62699ff8d26fe50001a69f0a,13817,JMB-v573046-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 12:56:40 GMT-0700 (Pacific Daylight Time)
6269b066175ef40001b42d2e,13817,JMB-v573244-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 14:06:46 GMT-0700 (Pacific Daylight Time)
626a8f15175ef40001923d53,13817,JMB-v575140-01,CENCOSUD_SHOPPER,APPROVED,Thu Apr 28 2022 05:56:53 GMT-0700 (Pacific Daylight Time)
626a84eed26fe5000163c644,13817,JMB-v575035-01,CENCOSUD_SHOPPER,APPROVED,Thu Apr 28 2022 05:13:34 GMT-0700 (Pacific Daylight Time)
6268a560175ef400018a3cef,13817,JMB-v570699-01,CENCOSUD_SHOPPER,OPEN,Tue Apr 26 2022 19:07:28 GMT-0700 (Pacific Daylight Time)
6269b552d26fe50001718aac,13817,JMB-v573300-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 14:27:46 GMT-0700 (Pacific Daylight Time)
6269d3ec175ef40001d2a7b8,13817,JMB-v573688-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 16:38:20 GMT-0700 (Pacific Daylight Time)
6269a6ccd26fe500015ac926,13817,JMB-v572956-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 13:25:48 GMT-0700 (Pacific Daylight Time)
6269a067175ef400017d6d28,13817,JMB-v573049-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 12:58:31 GMT-0700 (Pacific Daylight Time)
626adecdd26fe5000169a05f,13817,JMB-v577031-01,CENCOSUD_SHOPPER,OPEN,Thu Apr 28 2022 11:37:01 GMT-0700 (Pacific Daylight Time)
6269da27175ef4000182d682,13817,JMB-v573746-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 17:04:55 GMT-0700 (Pacific Daylight Time)
6269f1af175ef4000152da11,13817,JMB-v573858-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 18:45:19 GMT-0700 (Pacific Daylight Time)
6269b5f2d26fe500014e5fb1,13817,JMB-v573092-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 14:30:26 GMT-0700 (Pacific Daylight Time)
626a1797d26fe5000183a9cd,13817,JMB-v574392-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 21:27:03 GMT-0700 (Pacific Daylight Time)
